S.No.,User,Rating,Review_summary,Customer_info,Date,Upvote,Downvote,Review_detail
1,Rahul Prasad ,5,Fabulous!,"Certified Buyer, Debipur",Rahul Prasad ,12517,2414,"Best smart phone under this price range compare to other phones in 2023 if you see overall build quality, performance and Camera with autofocus and video action mode are awesome50% extra RAM compared to iPhone 13 and other more features. Best time to upgrade to iPhone 14 . I am so happy See Low light photos are amazing.."
2,Flipkart Customer,5,Great product,"Certified Buyer, Rajgarh",Flipkart Customer,3455,646,"Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go."
3,Tara singh mehra,5,Great product,"Certified Buyer, Ramnagar",Tara singh mehra,3150,588,Nice camera but battery drain fast specially on video recording
4,Narendar Redyy,4,Very Good,"Certified Buyer, Yenugonda",Narendar Redyy,1175,207,Nice UI and Fast
5,Waqar ahmed,5,Best in the market!,"Certified Buyer, North Twenty Four Parganas District",Waqar ahmed,1247,221,"Amazing picture quality, awesome design, mind blowing display and fabulous performance and specially very handy phone"
6,Avi Nash,5,Just wow!,"Certified Buyer, Bengaluru",Avi Nash,5257,1006,Good
7,Ajay Kumar,5,Excellent,"Certified Buyer, Raigarh",Ajay Kumar,1573,284,Just amazing!
8,Sanket  Hange ,5,Must buy!,"Certified Buyer, Latur",Sanket  Hange ,534,89,The best camera best design !!1st iphone 14 !!i tried all  conditions light photo the quality is best i was impressed with device battery backup is good perform is very impressive 🔥
9,Ashwini  biswal ,4,Good quality product,"Certified Buyer, Bhubaneswar",Ashwini  biswal ,753,131,Awesome 👍
10,Shivam  kumar,5,Terrific purchase,"Certified Buyer, Etawah",Shivam  kumar,621,107,Thanku filipkart best phone in the world ❤️
11,Vipul Rai,5,Awesome,"Certified Buyer, Champawat",Vipul Rai,848,151,Reasons to get it over regular 13- 50 percent extra ram- Better camera sensors- Cinematic mode at 4k 30 fps (13 could only do     1080p 30fps)- Action mode for super stabilised videos- Better low light photos thanks to photonic engine- Better battery life - Extra gpu core for high graphics performance- New improved modem for fast and efficient mobile connectivity - Dual ambient light sensors - Better camera flash- Crash detection - Satellite connectivity (though currently not in I...
12,ABHI GOWDA 76,4,Nice product,"Certified Buyer, Bengaluru",ABHI GOWDA 76,261,40,Unboxing overall good experience 😊
13,Abinash Bhuyan Rajput,5,Must buy!,"Certified Buyer, Chhindwara",Abinash Bhuyan Rajput,242,37,Just awesome....❤️🙌😌Display Camera Battery Processor....JUST WOW....✨💗☺️
14,Banwari  Kaka,5,Best in the market!,"Certified Buyer, Mahrajganj Mahrajganj District",Banwari  Kaka,3856,771,"Excellent smart phone, Good battery backup and performance is very good, Good camera quality."
15,Nagu K Gouda,5,Awesome,"Certified Buyer, Hyderabad",Nagu K Gouda,287,46,The Much Better
16,Anup Singh,5,Wonderful,"Certified Buyer, Chhapra",Anup Singh,134,18,"Amazing product, love the design and the feel is awesome Performance is very smooth."
17,CHAKARI OBULESU,5,Perfect product!,"Certified Buyer, Anantapur",CHAKARI OBULESU,242,38,Good
18,Flipkart Customer,5,Mind-blowing purchase,"Certified Buyer, Navi Mumbai",Flipkart Customer,144,20,Just perfect!!
19,Sri pavan sundeep Somu,1,Waste of money!,"Certified Buyer, Rajahmundry",Sri pavan sundeep Somu,492,87,"The volume down button is struck and unable to volume up. The Flipkart team is saying it is open box delivery so they can't help.......how can we check the volume without opening/start the mobile, when i ask this question the customer support placing my call on hold and dropping my call"
20,Vijayan N,5,Just wow!,"Certified Buyer, Kannur",Vijayan N,114,15,Amazing!pictures...📸 everything good 😍
21,Vaish Khan,5,Highly recommended,"Certified Buyer, Ghaziabad",Vaish Khan,141,20,Ultimate
22,BHAWANI SINGH,5,Mind-blowing purchase,"Certified Buyer, Jodhpur",BHAWANI SINGH,78,9,Amazing device for daily life about camera about sound quality all are good
23,Maulik  Rana ,5,Terrific,"Certified Buyer, Ahmedabad",Maulik  Rana ,305,52,Iphone 14 Nothing to say about it.... too Fast to furious... thank you Flipkart 👍
24,Viraj Maru,5,Excellent,"Certified Buyer, Ahmedabad",Viraj Maru,59,6,"Very nice product, camera quality is just amazing everything seems too real.Phone is very fast."
25,Flipkart Customer,5,Terrific purchase,"Certified Buyer, Davanagere",Flipkart Customer,52,5,Camera cinematic next level🔥🔥
26,mohammad Asif ansari  ansari ,4,Good quality product,"Certified Buyer, New Delhi",mohammad Asif ansari  ansari ,886,180,Nice look badiya phone after one year use great working
27,SUNNY KUMAR,5,Just wow!,"Certified Buyer, Begusarai",SUNNY KUMAR,366,68,I used iPhone 12 mini and now upgraded with iPhone 14. Camera quality is awesome.Full day battery backup.Super Retina display with high dynamic range is awesome.In terms of camera and battery life is big upgrade for me.
28,Flipkart Customer,5,Excellent,"Certified Buyer, Bangalore",Flipkart Customer,192,32,Super camera.
29,Neel Patel,5,Wonderful,"Certified Buyer, Bharuch",Neel Patel,126,19,Excellent Product 🥳
30,Kajapriya Kannan,5,Best in the market!,"Certified Buyer, Erode",Kajapriya Kannan,135,21,Performance is really good and camera quality is fine
31,NAREN MALO,5,Worth every penny,"Certified Buyer, South Twenty Four Parganas District",NAREN MALO,99,14,Amazing picture quality❤️👌🏼👌🏼
32,Ujjwal Singh,1,Worst experience ever!,"Certified Buyer, Hyderabad",Ujjwal Singh,48,5,Battery performance is worst after using 1 month my iphone battery health reduced to 98 percent.  Iphone is worst in terms of of battery performance
33,selva prakash,5,Classy product,"Certified Buyer, Madurai",selva prakash,53,6,Camera is superb.nice phone
34,Rajib Khatoi,5,Super!,"Certified Buyer, Bhubaneswar",Rajib Khatoi,108,17,Absolutely Awesome
35,Feecon Behera,5,Must buy!,"Certified Buyer, Bhubaneswar",Feecon Behera,1466,344,"Just awesome!!I switch to iPhone 14 from iPhone 12. The powerful chipset gives you smooth performance. No lags, no fancy UI, just delivers the best of it. Camera is best. Battery giving a full day. Speaker sounds wide and clear. Must buy!!"
36,Ankur Shaw,5,Must buy!,"Certified Buyer, Purbi Singhbhum",Ankur Shaw,95,15,After a losts of efforts when you get then Just Awesome 😊
37,Manchit kumar singh,5,Classy product,"Certified Buyer, Gaya",Manchit kumar singh,193,37,Very attractive Must buyLove It❤️❤️
38,SUMAN DAS,5,Fabulous!,"Certified Buyer, Kolkata",SUMAN DAS,243,49,"It's a apple device .. that means you get the good old ios . No performance issue , supper ram and power management . My slightly distasteful remark would be on its camera ."
39,Krystle Db,5,Terrific purchase,"Certified Buyer, Khowai",Krystle Db,14,0,Just wow😍😘
40,Sonu Meena,5,Fabulous!,"Certified Buyer, Jaipur",Sonu Meena,39,4,sound quality is very good 👍
41,Sanwar Gurjar,1,Don't waste your money,"Certified Buyer, Kekri",Sanwar Gurjar,284,60,Suddenly power off  every 2 -3 min and battery percentage changes and Flipkart not replace  mobile
42,JAVED ANSARI,5,Simply awesome,"Certified Buyer, Dakshin Dinajpur District",JAVED ANSARI,54,7,Loved it 👍
43,satyam,5,Super!,"Certified Buyer, Dankuni",satyam,110,19,An absolute beast. This is what you expect after paying such amount. Everything is perfect about this phone from build quality to camera to performance. Absolutely worth it.
44,Mainak Das,5,Brilliant,"Certified Buyer, Agartala",Mainak Das,101,17,Awesome phone with amazing features
45,Flipkart Customer,5,Brilliant,"Certified Buyer, Gurugram",Flipkart Customer,67,10,Decent purchase:)
46,Rahul  Pandey,5,Super!,"Certified Buyer, Bengaluru",Rahul  Pandey,181,36,Great picture quality. Performance is good as always. The important addition is the cinematographic video recording
47,Samaresh  Tikader,5,Fabulous!,"Certified Buyer, Bagula",Samaresh  Tikader,2887,772,"Happy to have iPhone 14. Wonderful phone specially because of Powerful camera😍, perfect screen size and potentially battery life make it worthy."
48,vivek singh,5,Super!,"Certified Buyer, Patna",vivek singh,26,2,Really an overall great product
49,Kunal Dhamija,5,Classy product,"Certified Buyer, New Delhi",Kunal Dhamija,263,58,"Totally in love with my new iphone 14. Battery backup is amazing which I never expected from Apple to be very honest.Built quality is excellent and it looks premium. Camera quality is excellent as well. True to life color reproduction, Indoor conditions amazing, night photos are good, facial tones are very good, day clicks are amazing. In short it's an amazing exp. Selfie cam also produces very good quality images."
